Ref;Quantité;LIVRFINLU;TIERSLU;Libelle client;Statut;Tiers livré;REFEXTERNELU;Date debut Validité
53343086;840;08/14/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;560;08/21/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;08/28/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;140;09/04/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
1001MR035;240;12/13/2024;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;01/17/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;240;01/24/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;01/31/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;02/07/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;02/14/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;02/21/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;03/07/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;03/21/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;04/17/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;04/25/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;05/02/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;05/09/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;05/16/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;05/23/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;05/30/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;06/06/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;06/20/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;21060;11/18/2024;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;12/02/2024;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;320;12/02/2024;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
